areacode,white,mixed,asian,black,other,total
E01000001,1161,31,121,8,29,1350
E01000002,1165,30,86,4,8,1293
E01000003,996,33,155,35,23,1242
E01000005,471,39,209,65,37,821
E01000006,467,31,641,135,35,1309
E01000007,359,55,349,278,17,1058
E01000008,361,29,266,360,26,1042
E01000009,366,40,847,168,41,1462
E01000010,688,75,982,380,64,2189
E01000011,285,21,806,113,44,1269
E01000012,412,65,505,322,28,1332
E01000013,926,26,109,180,4,1245
E01000014,985,33,64,159,12,1253
E01000015,1122,19,108,295,26,1570
E01000016,924,26,79,175,12,1216
E01000017,875,21,75,205,15,1191
E01000018,885,26,73,180,4,1168
E01000019,619,37,200,140,34,1030
E01000020,945,39,133,223,17,1357
E01000021,696,50,233,207,10,1196
E01000022,661,39,98,158,8,964
E01000023,510,33,186,132,20,881
E01000024,595,22,152,184,17,970
E01000025,893,27,135,157,6,1218
E01000027,956,30,111,139,5,1241
E01000028,698,42,159,219,15,1133
E01000029,908,27,212,147,20,1314
E01000030,961,38,100,220,17,1336
E01000031,699,44,304,180,37,1264
E01000032,853,32,227,135,30,1277
E01000033,789,18,42,142,7,998
E01000034,921,14,48,141,6,1130
E01000035,893,18,112,203,11,1237
E01000036,670,18,170,193,2,1053
E01000037,1198,35,57,126,8,1424
E01000038,1005,14,63,70,5,1157
E01000039,1069,28,68,104,6,1275
E01000040,763,23,204,177,26,1193
E01000041,879,29,79,215,14,1216
E01000042,757,39,232,213,29,1270
E01000043,592,26,263,109,16,1006
E01000044,653,55,335,276,19,1338
E01000045,763,53,106,252,20,1194
E01000046,997,29,68,170,14,1278
E01000048,455,60,148,433,33,1129
E01000049,530,54,177,373,37,1171
E01000050,518,40,451,181,25,1215
E01000051,505,38,234,444,49,1270
E01000052,781,39,389,261,16,1486
E01000053,753,14,86,258,8,1119
E01000054,966,18,70,201,10,1265
E01000055,864,28,97,164,8,1161
E01000056,814,33,77,202,10,1136
E01000057,733,33,63,215,15,1059
E01000058,887,42,132,278,23,1362
E01000059,915,36,41,170,10,1172
E01000060,951,22,78,247,12,1310
E01000061,810,47,55,264,13,1189
E01000062,1021,28,104,309,2,1464
E01000063,933,19,82,157,10,1201
E01000064,1072,26,63,276,5,1442
E01000065,1016,23,72,219,16,1346
E01000066,773,37,482,122,26,1440
E01000067,806,18,503,162,28,1517
E01000068,482,17,648,92,19,1258
E01000069,709,44,505,75,22,1355
E01000070,745,25,659,108,21,1558
E01000071,774,47,658,190,45,1714
E01000072,1016,44,120,249,12,1441
E01000073,896,23,96,153,14,1182
E01000074,867,32,55,168,7,1129
E01000075,1006,37,102,150,5,1300
E01000076,986,34,132,218,13,1383
E01000077,789,17,98,192,8,1104
E01000078,896,28,117,171,9,1221
E01000079,847,20,88,173,7,1135
E01000080,858,35,67,190,9,1159
E01000081,931,24,86,212,17,1270
E01000082,932,28,78,181,12,1231
E01000083,906,37,95,189,16,1243
E01000084,739,19,66,160,6,990
E01000085,917,33,62,205,21,1238
E01000086,757,22,76,192,5,1052
E01000087,716,26,41,212,6,1001
E01000088,799,31,163,361,13,1367
E01000089,816,29,69,287,13,1214
E01000090,650,18,148,284,28,1128
E01000091,676,20,163,286,23,1168
E01000092,888,52,381,548,56,1925
E01000093,643,42,108,310,12,1115
E01000094,346,33,157,378,12,926
E01000095,625,21,135,316,13,1110
E01000096,617,35,125,436,23,1236
E01000097,941,24,156,133,18,1272
E01000098,842,49,209,162,14,1276
E01000099,968,34,139,135,7,1283
E01000100,900,21,123,140,12,1196
E01000101,854,15,104,164,11,1148
E01000102,861,35,81,168,12,1157
E01000103,765,45,93,321,17,1241
E01000104,887,30,74,271,18,1280
E01000105,1154,44,81,298,14,1591
E01000106,990,50,78,341,14,1473
E01000107,977,20,98,176,10,1281
E01000108,904,20,99,194,12,1229
E01000109,813,32,225,189,9,1268
E01000110,676,31,237,158,19,1121
E01000111,923,22,214,208,27,1394
E01000112,796,43,360,246,22,1467
E01000113,703,25,302,209,36,1275
E01000114,1005,30,189,312,13,1549
E01000115,875,14,224,30,59,1202
E01000116,1015,49,192,36,43,1335
E01000117,1203,37,164,38,60,1502
E01000118,1118,71,212,71,40,1512
E01000119,886,46,288,43,91,1354
E01000120,819,32,245,29,66,1191
E01000121,752,62,160,90,52,1116
E01000122,765,35,272,56,45,1173
E01000123,947,48,254,59,41,1349
E01000124,773,48,262,134,62,1279
E01000125,899,89,640,350,128,2106
E01000126,636,76,356,371,105,1544
E01000127,613,46,261,180,43,1143
E01000128,736,40,366,186,49,1377
E01000129,664,61,421,169,66,1381
E01000130,623,43,271,237,42,1216
E01000131,686,39,507,136,64,1432
E01000132,580,56,254,133,49,1072
E01000133,696,34,271,179,35,1215
E01000134,651,44,303,210,45,1253
E01000135,831,59,250,54,99,1293
E01000136,935,48,160,28,69,1240
E01000137,794,67,188,174,95,1318
E01000138,704,33,219,74,121,1151
E01000139,815,36,159,59,112,1181
E01000140,932,50,237,79,101,1399
E01000141,973,72,314,201,149,1709
E01000142,1134,76,320,216,167,1913
