areacode,f,m
E01000001,672,781
E01000002,652,762
E01000003,755,837
E01000005,796,955
E01000006,755,828
E01000007,1034,888
E01000008,509,607
E01000009,684,850
E01000010,1171,1474
E01000011,607,719
E01000012,788,809
E01000013,709,641
E01000014,670,591
E01000015,881,840
E01000016,671,632
E01000017,570,535
E01000018,695,601
E01000019,571,509
E01000020,731,708
E01000021,643,627
E01000022,564,481
E01000023,1328,1378
E01000024,559,509
E01000025,627,607
E01000027,714,621
E01000028,676,559
E01000029,702,682
E01000030,853,798
E01000031,683,716
E01000032,760,706
E01000033,547,604
E01000034,691,609
E01000035,656,806
E01000036,562,583
E01000037,760,790
E01000038,577,540
E01000039,644,626
E01000040,686,660
E01000041,643,657
E01000042,703,719
E01000043,592,608
E01000044,731,783
E01000045,614,686
E01000046,721,664
E01000048,258,320
E01000049,583,578
E01000050,677,696
E01000051,361,311
E01000052,830,831
E01000053,611,600
E01000054,736,657
E01000055,645,632
E01000056,625,588
E01000057,588,561
E01000058,739,739
E01000059,698,528
E01000060,759,681
E01000061,667,589
E01000062,934,880
E01000063,696,649
E01000064,873,739
E01000065,655,695
E01000066,848,838
E01000067,820,914
E01000068,618,652
E01000069,749,720
E01000070,833,844
E01000071,958,1030
E01000072,791,754
E01000073,669,596
E01000074,626,555
E01000075,672,758
E01000076,746,729
E01000077,593,546
E01000078,743,631
E01000079,682,581
E01000080,600,560
E01000081,694,707
E01000082,787,758
E01000083,752,664
E01000084,516,554
E01000085,674,682
E01000086,565,495
E01000087,669,549
E01000088,762,746
E01000089,642,629
E01000090,637,620
E01000091,718,668
E01000092,2102,2105
E01000093,606,665
E01000094,817,723
E01000095,671,620
E01000096,662,572
E01000097,694,632
E01000098,682,609
E01000099,922,843
E01000100,660,655
E01000101,604,562
E01000102,594,503
E01000103,683,600
E01000104,737,685
E01000105,931,782
E01000106,785,753
E01000107,666,676
E01000108,708,671
E01000109,1077,913
E01000110,568,562
E01000111,751,787
E01000112,782,852
E01000113,707,674
E01000114,868,894
E01000115,551,533
E01000116,689,634
E01000117,752,700
E01000118,874,846
E01000119,778,655
E01000120,600,559
E01000121,572,576
E01000122,585,545
E01000123,713,717
E01000124,732,695
E01000125,1268,1227
E01000126,909,843
E01000127,588,602
E01000128,757,759
E01000129,726,710
E01000130,740,609
E01000131,819,778
E01000132,609,597
E01000133,666,603
E01000134,690,664
E01000135,704,734
E01000136,669,645
E01000137,689,623
E01000138,669,622
E01000139,692,696
E01000140,893,897
E01000141,1005,891
E01000142,1066,1097
E01000143,634,593
E01000144,723,755
E01000145,622,682
E01000146,842,915
E01000147,735,818
E01000148,1139,1203
E01000150,860,936
E01000151,629,608
E01000152,769,658
E01000153,735,628
E01000154,671,658
E01000155,1973,1992
E01000156,875,768
E01000157,659,612
E01000158,602,553
E01000159,715,741
E01000160,832,967
E01000161,933,1048
E01000162,662,649
E01000163,690,711
E01000164,732,659
E01000165,720,779
E01000166,706,573
E01000167,523,482
E01000168,653,642
E01000169,685,608
E01000170,745,684
E01000171,873,954
E01000172,720,657
E01000173,693,670
E01000174,773,720
E01000175,582,559
E01000176,703,683
E01000177,725,702
E01000178,701,710
E01000179,711,753
E01000180,713,659
E01000181,717,764
E01000182,805,839
E01000183,662,645
E01000184,692,661
E01000185,623,604
E01000186,632,625
E01000187,650,598
E01000188,606,616
E01000189,918,762
